"feature","variable","level","estimate","std.error","p.value","q.value","method"
"Lactobacillus_hominis","OUT_GROUP","D",-1.15000746109716,0.152785516734067,8.95392092809067e-14,8.0585288352816e-11,"LM_CLR"
"Klebsiella_pneumoniae","OUT_GROUP","D",1.16723554645507,0.165553676302467,2.79675206513983e-12,8.39025619541949e-10,"LM_CLR"
"Lactobacillus_taiwanensis","OUT_GROUP","D",-1.02490887695108,0.145415099617075,2.75539905397602e-12,8.39025619541949e-10,"LM_CLR"
"Lactobacillus_paragasseri","OUT_GROUP","D",-1.59886770341882,0.230051050276038,5.40759945243273e-12,1.21670987679737e-09,"LM_CLR"
"Prevotella_nigrescens","OUT_GROUP","D",0.561075426645482,0.0812833229849866,7.74843460964242e-12,1.39471822973564e-09,"LM_CLR"
"Delftia_acidovorans","OUT_GROUP","D",0.791672759159877,0.115474751849628,1.05818987303757e-11,1.58728480955636e-09,"LM_CLR"
"Streptomyces_caelestis","OUT_GROUP","D",0.997787227273211,0.147378162786726,1.69972886889475e-11,2.18536568857897e-09,"LM_CLR"
"Lactobacillus_johnsonii","OUT_GROUP","D",-1.16035483758304,0.17645641593429,6.63918550026745e-11,7.46908368780088e-09,"LM_CLR"
"Acidaminococcus_sp..CAG.542","OUT_GROUP","D",0.826067246693301,0.12740942797178,1.13430157006164e-10,1.13430157006164e-08,"LM_CLR"
"Lactobacillus_gasseri","OUT_GROUP","D",-1.6386700331619,0.253253275735659,1.31358838252911e-10,1.1822295442762e-08,"LM_CLR"
"Pseudomonas_sp..ERMR1.02","OUT_GROUP","D",0.804679644641185,0.126106182658489,2.19685535052072e-10,1.79742710497149e-08,"LM_CLR"
"Candida_dubliniensis","OUT_GROUP","D",0.846815497201496,0.133162887813812,2.5237630860296e-10,1.8299021450305e-08,"LM_CLR"
"Streptomyces_gancidicus","OUT_GROUP","D",0.96590095342329,0.152062730604966,2.64319198726628e-10,1.8299021450305e-08,"LM_CLR"
"Bacillus_dafuensis","OUT_GROUP","D",0.755128039448302,0.12007568621767,3.94653417828536e-10,2.53705768604059e-08,"LM_CLR"
"Peptoniphilus_sp..SAHP1","IMC","IMC",0.35200396714523,0.0564270767011696,5.79099342813226e-10,3.47459605687935e-08,"LM_CLR"
"Lactobacillus_helveticus","OUT_GROUP","D",-1.3448031296767,0.217254950723398,7.75520319936874e-10,4.36230179964492e-08,"LM_CLR"
"Lactobacillus_kefiranofaciens","IMC","IMC",-0.438479250417216,0.0712284550255324,9.57136709703119e-10,5.0671943454871e-08,"LM_CLR"
"Bradyrhizobium_macuxiense","OUT_GROUP","D",0.611113254782867,0.100197468019666,1.36784412660678e-09,6.8392206330339e-08,"LM_CLR"
