feature;variable;level;estimate;std.error;p.value;q.value;method
nitroimidazole;HTA_PRE_ECLAM;Yes;0.029626693;0.004388839;1.47E-11;2.11E-09;CPLM
tetracycline;IMC;IMC;0.152466303;0.02824875;6.77E-08;4.84E-06;CPLM
nitroimidazole;CERCLAGE;Yes;0.014556298;0.003233991;6.76E-06;0.000322343;CPLM
beta.lactam;CERCLAGE;Yes;1.250244008;0.282350702;9.51E-06;0.000340049;CPLM
beta.lactam;IMC;IMC;0.307787225;0.071228469;1.55E-05;0.000443971;CPLM
beta.lactam;OUT_GROUP;D;0.823503327;0.19591678;2.63E-05;0.00062685;CPLM
macrolide;IMC;IMC;0.116488535;0.029443181;7.61E-05;0.001554466;CPLM
quinolone;IMC;IMC;0.666237204;0.172403878;0.000111364;0.001990623;CPLM
beta.lactam;OUT_GROUP;C;0.716434496;0.188798207;0.000147816;0.002348631;CPLM
aminoglycoside;IMC;IMC;0.076181313;0.021468191;0.000387334;0.005538871;CPLM
tetracycline;PAT_AGE;PAT_AGE;-0.084247381;0.026734014;0.001625354;0.021129597;CPLM
fosfomycin;OUT_GROUP;C;1.269183344;0.410955609;0.002012571;0.02398314;CPLM
misc;IMC;IMC;0.002289463;0.000761024;0.002626285;0.028889133;CPLM
colistin;RCIU;Yes;-0.029456714;0.010118713;0.00360144;0.036786142;CPLM
macrolide;OUT_GROUP;C;0.213972836;0.077757417;0.005926876;0.052971457;CPLM
tetracycline;OUT_GROUP;C;0.205620909;0.074304713;0.00565286;0.052971457;CPLM
quinolone;OUT_GROUP;C;2.060483765;0.763778792;0.006980997;0.058722508;CPLM
aminoglycoside;OUT_GROUP;C;0.150141984;0.05705983;0.008505692;0.067573001;CPLM
aminoglycoside;BIL_INC_ATB;Yes;0.116205879;0.046107183;0.01172408;0.081698222;CPLM
colistin;OUT_GROUP;C;-0.016991161;0.006713126;0.011372629;0.081698222;CPLM
colistin;OUT_GROUP;D;-0.016894687;0.00672502;0.011997641;0.081698222;CPLM
quinolone;BIL_INC_ATB;Yes;1.10120535;0.442301856;0.012784574;0.083099733;CPLM
fosfomycin;IMC;IMC;0.30244676;0.124398922;0.0150462;0.093548113;CPLM
macrolide;PAT_AGE;PAT_AGE;-0.067826627;0.028123516;0.01587657;0.094475037;CPLM
sulphonamide;IMC;IMC;0.305109879;0.127272557;0.016516615;0.094475037;CPLM
beta.lactam;HTA_PRE_ECLAM;Yes;0.930413938;0.399113423;0.01974272;0.095853378;CPLM
misc;CERCLAGE;Yes;-0.00827864;0.003540987;0.019389985;0.095853378;CPLM
quinolone;OUT_GROUP;B;1.807570039;0.777681618;0.0201091;0.095853378;CPLM
sulphonamide;OUT_GROUP;D;1.006854511;0.427880888;0.018616691;0.095853378;CPLM
tetracycline;CERCLAGE;Yes;0.279599335;0.118243893;0.018049625;0.095853378;CPLM
sulphonamide;BIL_INC_ATB;Yes;0.698247436;0.304398366;0.021798504;0.100554388;CPLM
beta.lactam;BIL_INC_ATB;Yes;0.343737908;0.151168292;0.02297346;0.102662652;CPLM
trimethoprim;BIL_INC_ATB;Yes;1.071246938;0.477498793;0.024867504;0.107759185;CPLM
fosfomycin;OUT_GROUP;B;0.980699282;0.454005546;0.030764605;0.129392308;CPLM
macrolide;Type;SN;-0.095787409;0.044961419;0.033135665;0.13538286;CPLM
fosfomycin;RCIU;Yes;0.792436248;0.383116821;0.038603059;0.153339929;CPLM
trimethoprim;OUT_GROUP;C;1.271987138;0.628197748;0.042885887;0.16574816;CPLM
beta.lactam;PAT_AGE;PAT_AGE;-0.135837568;0.068632814;0.047794309;0.16977635;CPLM
macrolide;CERCLAGE;Yes;0.249059872;0.125447324;0.047102862;0.16977635;CPLM
sulphonamide;OUT_GROUP;C;0.873356681;0.445334412;0.049864382;0.16977635;CPLM
tetracycline;Type;SN;-0.081781041;0.040903825;0.045570554;0.16977635;CPLM
trimethoprim;IMC;IMC;0.418559157;0.213298649;0.049725811;0.16977635;CPLM
phenicol;IMC;IMC;0.446131859;0.23096019;0.053403999;0.177599347;CPLM
tetracycline;BIL_INC_ATB;Yes;0.113990057;0.061393665;0.063352829;0.205896694;CPLM
colistin;IMC;IMC;0.004852923;0.002643429;0.066380673;0.20743227;CPLM
fosfomycin;OUT_GROUP;D;0.803683864;0.438330297;0.066726464;0.20743227;CPLM
colistin;OUT_GROUP;B;-0.012223719;0.006887816;0.075949572;0.231080612;CPLM
tetracycline;HTA_PRE_ECLAM;Yes;0.277519486;0.161431753;0.085593729;0.254997984;CPLM
sulphonamide;PAT_AGE;PAT_AGE;-0.215077452;0.131035699;0.100721605;0.293942642;CPLM
quinolone;OUT_GROUP;D;1.208779879;0.77086128;0.116860126;0.334219959;CPLM
macrolide;DIABET_GESTA;Yes;0.115207962;0.074777824;0.123397084;0.345995745;CPLM
beta.lactam;OUT_GROUP;B;0.296468573;0.202729429;0.143635605;0.387876654;CPLM
phenicol;OUT_GROUP;C;0.994576663;0.680314321;0.14375848;0.387876654;CPLM
