feature;variable;level;estimate;std.error;p.value;q.value;method
Streptomyces_caelestis;Type;SN;-2.151894212;0.089791044;6.93E-107;6.86E-104;LM_CLR
Acidaminococcus_sp..CAG.542;Type;SN;-1.819163262;0.078200281;1.02E-101;5.06E-99;LM_CLR
Candida_dubliniensis;Type;SN;-1.852072712;0.08145252;2.45E-97;8.10E-95;LM_CLR
Streptomyces_gancidicus;Type;SN;-2.116101892;0.093822747;2.46E-96;6.08E-94;LM_CLR
Pseudomonas_sp..ERMR1.02;Type;SN;-1.728285933;0.077953313;1.23E-93;2.44E-91;LM_CLR
Candida_viswanathii;Type;SN;-1.665484328;0.075480934;1.20E-92;1.97E-90;LM_CLR
Bacillus_dafuensis;Type;SN;-1.603044075;0.074720084;1.54E-88;2.18E-86;LM_CLR
Staphylococcus_aureus;Type;SN;-1.986661983;0.092405846;4.64E-88;5.74E-86;LM_CLR
Porphyromonas_sp..oral.taxon.278;Type;SN;-1.701084997;0.083938442;3.18E-80;3.50E-78;LM_CLR
Delftia_acidovorans;Type;SN;-1.334572311;0.067807388;1.22E-75;1.21E-73;LM_CLR
Candida_tropicalis;Type;SN;-1.427089131;0.072951801;3.05E-75;2.75E-73;LM_CLR
Candida_maltosa;Type;SN;-1.116209983;0.062554973;4.00E-64;3.30E-62;LM_CLR
Bradyrhizobium_macuxiense;Type;SN;-1.057566209;0.059190834;6.38E-64;4.85E-62;LM_CLR
Streptococcus_pneumoniae;Type;SN;-1.369117851;0.077864714;1.44E-62;1.02E-60;LM_CLR
Levilactobacillus_spicheri;Type;SN;-1.154772121;0.066793612;1.19E-60;7.86E-59;LM_CLR
Corynebacterium_tuberculostearicum;Type;SN;1.541532634;0.092434001;1.32E-56;8.19E-55;LM_CLR
Klebsiella_pneumoniae;Type;SN;-1.688918556;0.10189987;3.98E-56;2.32E-54;LM_CLR
Enterococcus_faecium;Type;SN;-1.344946344;0.082038194;5.33E-55;2.93E-53;LM_CLR
Lawsonella_clevelandensis;Type;SN;1.261090027;0.080747027;2.31E-50;1.20E-48;LM_CLR
Trichomonas_vaginalis;Type;SN;-0.781804794;0.056332964;1.05E-40;5.18E-39;LM_CLR
Anaerococcus_prevotii;Type;SN;0.925353585;0.069783872;1.48E-37;6.99E-36;LM_CLR
Prevotella_disiens;Type;SN;1.243532864;0.093690301;1.72E-37;7.73E-36;LM_CLR
Staphylococcus_epidermidis;Type;SN;1.43380815;0.108301786;1.82E-37;7.82E-36;LM_CLR
Peptoniphilus_sp..SAHP1;Type;SN;1.235540201;0.095067321;3.42E-36;1.41E-34;LM_CLR
Peptoniphilus_harei;Type;SN;0.92852341;0.072786991;5.93E-35;2.35E-33;LM_CLR
Candida_albicans;Type;SN;-1.151007682;0.089330937;7.18E-35;2.73E-33;LM_CLR
Finegoldia_magna;Type;SN;1.207579237;0.095566494;1.48E-34;5.41E-33;LM_CLR
Bradyrhizobium_erythrophlei;Type;SN;-0.659282297;0.053264919;3.20E-33;1.13E-31;LM_CLR
Prevotella_bivia;Type;SN;1.461489823;0.118947319;1.66E-32;5.65E-31;LM_CLR
Prevotella_buccalis;Type;SN;1.213129676;0.099244805;2.20E-32;7.26E-31;LM_CLR
Peptoniphilus_sp..HMSC062D09;Type;SN;0.949218279;0.078664719;1.19E-31;3.79E-30;LM_CLR
